Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C7, C9",0603,5,22pF,
"C11, C12",0805,2,26pF,
"C14, C2, C6",0603,3,0.1uF,
C3,0603,1,10uF,
"C4, C5",0603,2,1uF,
C8,0603,1,2.2uF,
D1,1206,1,WHITE,
D2,1206,1,RED,
D3,1206,1,BLUE,
D4,D_SOD-123F,1,KDZVTR3.6B,
F1,0603,1,0ZCM0008FF2G,
J1,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Programming Header,
J2,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
J3,TAOGLAS_EMPCB.SMAFSTJ.B.HT,1,EMPCB.SMAFSTJ.B.HT,
"L1, L2",0603,2,47nH,
R1,0603,1,100R,
"R2, R3, R4",0603,3,10k,
"R7, R8",0603,2,160,
R9,0603,1,200mR,
TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,RX,
TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,TX,
"TP3, TP4",TestPoint_Keystone_5000-5004_Miniature,2,36-5001-ND,
U1,QFN16_M10578_ANT,1,M10578-A2,
U2,SOIC-28W_7.5x18.7mm_P1.27mm,1,PIC18F26K83,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2562,
U4,SOT-23-5_HandSoldering,1,SPX3819M5-L-3-3,
U5,SOT-23-5_HandSoldering,1,INA180,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-12.000MHZ-18-D2Y-T,
