Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4",0603,3,0.1uF,
"C2, C5",0603,2,27pF,
D1,1206,1,RED,
D2,1206,1,White,
D3,1206,1,Blue,
F1,1206,1,550mA,
J1,PinSocket_5x2.54_SMD_90deg_952-3198-1-ND,1,Programming Header,
J2,connector_Harwin_G125-MH104M4-04AD000P,1,G125-MH104M4-04AD000P,
J4,connector_Harwin_G125–MG10605M4P,1,G125-MG10605M4P,
"R1, R2, R3",0603,3,330R,
R4,0603,1,10K,
R5,0603,1,0.3R,
"TP1, TP2",TestPoint_Keystone_5000-5004_Miniature,2,TestPoint,
U1,SOIC-28W_7.5x18.7mm_P1.27mm,1,canhw:PIC18F26K83,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,canhw:MCP2562,
U4,SOT-23-5_HandSoldering,1,INA180A1,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8G-12.000MHZ-18-D2Y-T,
